raceIndex,driver,standing,quali,result,team
10,BEA,6,,,
10,SAR,0,20,20,Williams
10,ALB,2,19,18,Williams
10,RIC,9,18,15,RB F1 Team
10,TSU,19,17,19,RB F1 Team
10,MAG,1,16,17,Haas F1 Team
10,ZHO,0,15,13,Sauber
10,STR,17,14,14,Aston Martin
10,HUL,6,13,11,Haas F1 Team
10,BOT,0,12,16,Sauber
10,ALO,41,11,12,Aston Martin
10,PIA,87,10,7,McLaren
10,OCO,3,9,10,Alpine F1 Team
10,PER,111,8,8,Red Bull
10,GAS,5,7,9,Alpine F1 Team
10,SAI,116,6,6,Ferrari
10,LEC,148,5,5,Ferrari
10,RUS,81,4,4,Mercedes
10,HAM,70,3,3,Mercedes
10,VER,219,2,1,Red Bull
10,NOR,150,1,2,McLaren
9,BEA,6,,,
9,ZHO,0,20,15,Sauber
9,HUL,6,19,11,Haas F1 Team
9,OCO,2,18,10,Alpine F1 Team
9,BOT,0,17,13,Sauber
9,PER,107,16,18,Red Bull
9,GAS,3,15,9,Alpine F1 Team
9,MAG,1,14,12,Haas F1 Team
9,SAR,0,13,20,Williams
9,SAI,108,12,16,Ferrari
9,LEC,138,11,19,Ferrari
9,ALB,2,10,17,Williams
9,STR,17,9,7,Aston Martin
9,TSU,19,8,14,RB F1 Team
9,HAM,55,7,4,Mercedes
9,ALO,41,6,6,Aston Martin
9,RIC,9,5,8,RB F1 Team
9,PIA,81,4,5,McLaren
9,NOR,131,3,2,McLaren
9,VER,194,2,1,Red Bull
9,RUS,69,1,3,Mercedes
8,BEA,6,,,
8,ZHO,0,20,16,Sauber
8,BOT,0,19,13,Sauber
8,PER,107,18,18,Red Bull
8,SAR,0,17,15,Williams
8,ALO,33,16,11,Aston Martin
8,MAG,1,15,20,Haas F1 Team
8,STR,11,14,14,Aston Martin
8,RIC,5,13,12,RB F1 Team
8,HUL,6,12,19,Haas F1 Team
8,OCO,1,11,17,Alpine F1 Team
8,GAS,1,10,10,Alpine F1 Team
8,ALB,2,9,9,Williams
8,TSU,19,8,8,RB F1 Team
8,HAM,42,7,7,Mercedes
8,VER,169,6,6,Red Bull
8,RUS,54,5,5,Mercedes
8,NOR,113,4,4,McLaren
8,SAI,108,3,3,Ferrari
8,PIA,71,2,2,McLaren
8,LEC,138,1,1,Ferrari
7,BEA,6,,,
7,SAR,0,20,17,Williams
7,ALO,33,19,19,Aston Martin
7,MAG,1,18,12,Haas F1 Team
7,ZHO,0,17,15,Sauber
7,BOT,0,16,18,Sauber
7,GAS,0,15,16,Alpine F1 Team
7,ALB,0,14,20,Williams
7,STR,11,13,9,Aston Martin
7,OCO,1,12,14,Alpine F1 Team
7,PER,107,11,8,Red Bull
7,HUL,6,10,11,Haas F1 Team
7,RIC,5,9,13,RB F1 Team
7,HAM,35,8,6,Mercedes
7,TSU,15,7,10,RB F1 Team
7,RUS,44,6,7,Mercedes
7,SAI,93,5,5,Ferrari
7,LEC,113,4,3,Ferrari
7,NOR,101,3,2,McLaren
7,PIA,53,2,4,McLaren
7,VER,161,1,1,Red Bull
6,BEA,6,,,
6,ZHO,0,20,14,Sauber
6,MAG,1,19,19,Haas F1 Team
6,RIC,5,18,15,RB F1 Team
6,SAR,0,17,20,Williams
6,BOT,0,16,16,Sauber
6,ALO,33,15,9,Aston Martin
6,ALB,0,14,18,Williams
6,OCO,1,13,10,Alpine F1 Team
6,GAS,0,12,12,Alpine F1 Team
6,STR,9,11,17,Aston Martin
6,TSU,14,10,7,RB F1 Team
6,HUL,6,9,11,Haas F1 Team
6,HAM,27,8,6,Mercedes
6,RUS,37,7,8,Mercedes
6,PIA,41,6,13,McLaren
6,NOR,83,5,1,McLaren
6,PER,103,4,4,Red Bull
6,SAI,83,3,5,Ferrari
6,LEC,98,2,3,Ferrari
6,VER,136,1,2,Red Bull
5,BEA,6,,,
5,SAR,0,20,17,Williams
5,TSU,7,19,19,RB F1 Team
5,HAM,19,18,9,Mercedes
